,Weather City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,douentza,91,ML,1587251998,21,15.0,-2.95,84.24,2.21
1,boca do acre,61,IT,1587251998,76,45.68,8.41,57.0,0.25
2,flinders,49,AU,1587251998,65,-34.58,150.86,64.0,7.0
3,akureyri,75,IS,1587251998,70,65.68,-18.09,46.4,34.45
4,yarada,0,IN,1587251998,80,17.65,83.27,80.85,11.34
5,kavieng,93,PG,1587251837,74,-2.57,150.8,82.99,4.9
6,hamilton,1,US,1587251881,40,39.18,-84.53,54.0,9.17
7,carnarvon,72,AU,1587251999,88,-24.87,113.63,71.6,8.05
8,manokwari,96,ID,1587251999,65,-0.87,134.08,85.03,1.99
9,mataura,80,NZ,1587251999,74,-46.19,168.86,53.01,10.0
10,upernavik,99,GL,1587251999,90,72.79,-56.15,22.95,14.5
11,urumqi,63,CN,1587251999,58,43.8,87.6,53.6,4.47
12,busselton,95,AU,1587251999,98,-33.65,115.33,61.0,22.03
13,shar,1,KZ,1587251999,58,49.59,81.05,46.45,1.97
14,codrington,53,AU,1587252000,72,-38.27,141.97,56.52,10.31
15,rikitea,42,PF,1587252000,70,-23.12,-134.97,77.41,5.93
16,punta arenas,96,PH,1587252000,80,8.99,125.34,79.09,4.32
17,tuatapere,47,NZ,1587251838,74,-46.13,167.68,53.01,10.0
19,sur,19,OM,1587252000,55,22.57,59.53,81.27,8.14
20,beni suef,100,CD,1587252000,71,0.5,29.47,64.44,1.99
21,komsomolskiy,4,UZ,1587252001,58,40.43,71.72,55.4,6.93
22,lagos,40,NG,1587251730,83,6.58,3.75,84.2,4.7
23,tefe,92,BR,1587252001,95,-3.35,-64.71,75.65,0.76
24,mahebourg,40,MU,1587252001,83,-20.41,57.7,77.0,11.41
25,coihaique,90,CL,1587252001,93,-45.58,-72.07,44.6,5.82
26,vaini,40,TO,1587252001,74,-21.2,-175.2,80.6,12.75
27,ponta do sol,100,PT,1587252001,84,38.73,-28.27,58.77,14.83
28,burns lake,1,US,1587252001,14,43.59,-119.05,66.2,11.41
29,itoman,75,JP,1587252002,83,26.12,127.67,77.0,11.41
30,ushuaia,40,AR,1587252002,61,-54.8,-68.3,48.2,11.41
31,cabral,13,DO,1587252002,67,18.25,-71.22,78.04,4.09
32,lorengau,10,PG,1587252002,69,-2.02,147.27,84.83,2.62
33,georgetown,40,MY,1587252002,94,5.41,100.34,80.6,3.36
34,sao felix do xingu,30,IN,1587252002,25,20.51,76.21,81.41,3.51
35,cape town,20,CL,1587252002,68,-36.41,-71.9,69.8,6.93
36,zakupne,74,UA,1587252002,34,49.12,26.34,41.0,4.99
37,haines junction,1,US,1587252003,50,59.23,-135.44,55.4,8.05
38,port elizabeth,98,CD,1587252003,60,-7.03,29.76,73.72,3.42
39,litoral del san juan,0,BR,1587252003,81,-30.01,-50.16,68.05,13.65
40,kapaa,1,US,1587251833,65,22.08,-159.32,80.6,5.82
41,novaya igirma,79,RU,1587252003,89,55.92,38.33,35.6,4.47
42,muravlenko,100,RU,1587252003,88,63.79,74.52,40.12,17.65
43,albany,76,US,1587252003,51,42.6,-73.97,46.0,1.01
44,olinda,40,BR,1587252004,74,-8.01,-34.86,84.2,4.7
45,roald,7,NO,1587252004,93,62.58,6.13,41.0,9.17
46,ndioum,29,SN,1587252004,53,16.51,-14.65,75.2,6.93
47,bredasdorp,55,ZA,1587252004,87,-34.53,20.04,50.0,2.24
48,sacalum,20,MX,1587252004,24,20.48,-89.58,102.2,18.34
49,east london,75,IS,1587252004,70,65.0,-15.0,46.4,12.75
50,iqaluit,20,CA,1587252004,71,63.75,-68.51,3.2,6.93
51,nabire,100,ID,1587252069,89,-3.37,135.48,76.84,5.5
52,ancud,40,CL,1587251867,93,-41.87,-73.82,55.4,8.05
53,tura,12,IN,1587252070,79,25.52,90.22,65.77,1.36
54,honiara,40,SB,1587252070,74,-9.43,159.95,86.0,3.36
55,alpena,75,US,1587252070,26,45.06,-83.43,57.2,13.87
56,key west,90,US,1587252070,46,32.73,-101.8,75.0,16.11
57,hobart,75,AU,1587252070,76,-42.88,147.33,51.01,8.05
58,ojinaga,1,MX,1587252070,9,29.57,-104.42,93.2,10.29
59,zelenoborsk,93,RU,1587252071,91,61.47,64.03,35.55,10.8
60,xichang,16,CN,1587252071,37,27.9,102.26,62.85,1.14
61,kirando,94,TZ,1587252071,60,-7.42,30.6,74.43,10.38
62,port alfred,98,CD,1587252003,60,-7.03,29.76,73.72,3.42
63,barrow,1,US,1587251849,71,71.29,-156.79,6.8,11.41
