,Weather City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
18,ribeira grande,20,ES,1587252000,100,42.75,-8.44,50.0,1.14
89,mar del plata,20,ES,1587252075,100,43.4,-4.01,57.99,4.7
132,grindavik,90,IS,1587252146,100,63.84,-22.43,35.6,6.93
198,fez,75,MA,1587252220,100,34.04,-5.0,57.2,10.29
311,porto novo,20,PT,1587252430,100,41.15,-8.61,55.0,3.62
329,banjar,20,ID,1587252434,100,-8.19,114.97,78.8,6.93
338,nome,90,US,1587252435,100,64.5,-165.41,34.0,8.05
340,horsham,44,GB,1587252436,100,51.06,-0.33,45.0,1.12
387,fairbanks,90,US,1587252434,100,64.84,-147.72,43.0,2.01
400,phangnga,20,TH,1587252510,100,8.45,98.53,77.0,5.82
553,tunoshna,48,RU,1587252792,100,57.55,40.13,30.2,4.47
554,lalin,20,ES,1587252792,100,42.72,-8.12,50.0,1.14
